Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal, MaxFlow, Int_L1, Int_L2, Int_L3,Other_Lev,Time
Net1,0,1,22,66,16,0.0,16,286.0,0,0,0,0,0.27
Net1,3,1,22,66,16,0.0,13,286.0,3,0,0,0,0.93
Net1,6,1,22,66,16,0.0,10,215.0,3,3,0,0,100.11
Net1,9,1,22,66,16,0.37,8,190.0,5,3,0,0,7200.13
Net1,12,1,22,66,16,0.5,6,133.0,3,7,0,0,7200.13
Net2,0,1,22,68,17,0.0,17,290.0,0,0,0,0,0.13
Net2,3,1,22,68,17,0.0,14,274.0,3,0,0,0,0.94
Net2,6,1,22,68,17,0.0,11,222.0,6,0,0,0,115.9
Net2,9,1,22,68,17,0.33,9,195.0,8,0,0,0,7200.27
Net2,12,1,22,68,17,0.33,6,119.0,6,4,0,0,7200.14
Net3,0,1,22,70,14,0.0,14,254.0,0,0,0,0,0.11
Net3,3,1,22,70,14,0.0,11,213.0,3,0,0,0,2.33
Net3,6,1,22,70,14,0.0,8,158.0,6,0,0,0,298.61
Net3,9,1,22,70,14,0.17,6,122.0,5,4,0,0,7200.14
Net3,12,1,22,70,14,0.0,4,85.0,7,4,0,0,0.13
Net4,0,1,22,68,16,0.0,16,236.0,0,0,0,0,0.09
Net4,3,1,22,68,16,0.0,13,200.0,3,0,0,0,0.64
Net4,6,1,22,68,16,0.0,9,164.0,2,3,0,0,43.54
Net4,9,1,22,68,16,0.0,6,122.0,1,5,0,0,2676.5
Net4,12,1,22,68,16,0.0,4,86.0,3,5,0,0,0.2
Net5,0,1,22,71,19,0.0,19,319.0,0,0,0,0,0.11
Net5,3,1,22,71,19,0.0,15,298.0,0,3,0,0,1.33
Net5,6,1,22,71,19,0.0,12,263.0,3,3,0,0,277.99
Net5,9,1,22,71,19,0.33,9,195.0,2,6,0,0,7200.18
Net5,12,1,22,71,19,0.33,6,137.0,5,6,0,0,7200.14
Net6,0,1,22,63,15,0.0,15,282.0,0,0,0,0,0.11
Net6,3,1,22,63,15,0.0,11,245.0,2,1,0,0,0.72
Net6,6,1,22,63,15,0.0,9,203.0,4,1,0,0,52.99
Net6,9,1,22,63,15,0.0,6,150.0,3,4,0,0,3042.83
Net6,12,1,22,63,15,0.25,4,105.0,2,7,0,0,7200.1
Net7,0,1,22,61,12,0.0,12,206.0,0,0,0,0,0.12
Net7,3,1,22,61,12,0.0,7,143.0,0,3,0,0,0.4
Net7,6,1,22,61,12,0.0,6,122.0,1,3,0,0,19.15
Net7,9,1,22,61,12,0.0,3,59.0,0,4,4,0,0.11
Net7,12,1,22,61,12,0.0,2,41.0,1,4,4,0,0.13
Net8,0,1,22,69,14,0.0,14,259.0,0,0,0,0,0.09
Net8,3,1,22,69,14,0.0,9,204.0,1,2,0,0,0.1
Net8,6,1,22,69,14,0.0,6,137.0,4,2,0,0,0.09
Net8,9,1,22,69,14,0.0,4,97.0,6,2,0,0,0.11
Net8,12,1,22,69,14,0.0,2,48.0,8,2,0,0,0.11
Net9,0,1,22,64,13,0.0,13,241.0,0,0,0,0,0.1
Net9,3,1,22,64,13,0.0,10,208.0,3,0,0,0,0.76
Net9,6,1,22,64,13,0.0,8,182.0,5,0,0,0,77.82
Net9,9,1,22,64,13,0.0,7,157.0,6,0,0,0,3967.3
Net9,12,1,22,64,13,0.4,5,106.0,8,0,0,0,7200.17
Net10,0,1,22,69,14,0.0,14,275.0,0,0,0,0,0.12
Net10,3,1,22,69,14,0.0,11,229.0,3,0,0,0,1.32
Net10,6,1,22,69,14,0.0,8,179.0,6,0,0,0,261.69
Net10,9,1,22,69,14,0.0,5,124.0,9,0,0,0,0.12
Net10,12,1,22,69,14,0.0,4,100.0,10,0,1,0,0.23
